Track ID,Track Name,Artist(s),Spotify URL,Artist Name,Genres,Album Name,Album Type,Label,Album Image URL
0CLQzmq1FAt5b12k71ACRU,Dil Tere Naam Se,"Kumar Sanu, Kavita Krishnamurthy",https://open.spotify.com/track/0CLQzmq1FAt5b12k71ACRU,Kumar Sanu,"bollywood, hindi pop",Aadmi,album,,https://i.scdn.co/image/ab67616d0000b273c4fbc2f46b6565f63929dad7
3qbSubaQIBgUM13S7kzWOd,Kisi Din Banoongi Main,"Alka Yagnik, Udit Narayan",https://open.spotify.com/track/3qbSubaQIBgUM13S7kzWOd,Alka Yagnik,"bollywood, hindi pop, desi",Raja (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2736867fa779258eedae633c587
3K5GgWtOwiBBLL4h3guKIE,Phool Maangu Na Bahaar Maangu,"Alka Yagnik, Udit Narayan",https://open.spotify.com/track/3K5GgWtOwiBBLL4h3guKIE,Alka Yagnik,"bollywood, hindi pop, desi",Raja (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2736867fa779258eedae633c587
7hr9JwTT94ScLdQIBJ2Lfh,O Rabba Koi To Bataye,"Anuradha Paudwal, Suresh Wadkar",https://open.spotify.com/track/7hr9JwTT94ScLdQIBJ2Lfh,Anuradha Paudwal,"bhajan, marathi pop, devotional, ghazal",Sangeet,album,,https://i.scdn.co/image/ab67616d0000b27336e9b5af1681398f42afd94e
036NUjIarf84IaIAd1qrB8,Log Barso Judaa Hoke Duet,"Pankaj Udhas, Sadhana Sargam",https://open.spotify.com/track/036NUjIarf84IaIAd1qrB8,Pankaj Udhas,"ghazal, qawwali, sufi, bhajan",Jigar,album,,https://i.scdn.co/image/ab67616d0000b273d3c2e2af61ed864be8f58be5
0ILkbS2lGSkbJrPyYwfXQo,Pyaar Ke Kagaz Pe,"Abhijeet, Sadhana Sargam",https://open.spotify.com/track/0ILkbS2lGSkbJrPyYwfXQo,Abhijeet,"bollywood, hindi pop",Jigar,album,,https://i.scdn.co/image/ab67616d0000b273d3c2e2af61ed864be8f58be5
77QP3sduboWcEh7aypoz66,Mere Mehboob Mere Sanam,"Udit Narayan, Alka Yagnik",https://open.spotify.com/track/77QP3sduboWcEh7aypoz66,Udit Narayan,"bollywood, hindi pop, desi",Duplicate,album,,https://i.scdn.co/image/ab67616d0000b273363a2e444d41091dd3a95064
0WBClBemYPJR44H6uIn0kp,Main Koi Aisa Geet Gaoon,"Abhijeet, Alka Yagnik",https://open.spotify.com/track/0WBClBemYPJR44H6uIn0kp,Abhijeet,"bollywood, hindi pop",Yes Boss (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2730f0e4b68ed5159c70422c18f
2NY0oA0YLx662x1MpsWFug,Choodi Baji Hai,"Udit Narayan, Alka Yagnik",https://open.spotify.com/track/2NY0oA0YLx662x1MpsWFug,Udit Narayan,"bollywood, hindi pop, desi",Yes Boss (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2730f0e4b68ed5159c70422c18f
5fq7CGNYZKJm38HbLwMg9h,Ek Din Aap,"Kumar Sanu, Alka Yagnik",https://open.spotify.com/track/5fq7CGNYZKJm38HbLwMg9h,Kumar Sanu,"bollywood, hindi pop",Yes Boss (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2730f0e4b68ed5159c70422c18f
3GErQgsI8P5ohOnEo8TAD5,Phoolon Ke Is Shehar Mein,"Lata Mangeshkar, Abhijeet",https://open.spotify.com/track/3GErQgsI8P5ohOnEo8TAD5,Lata Mangeshkar,"ghazal, bollywood, bhajan, hindi pop, marathi pop",Parampara,album,,https://i.scdn.co/image/ab67616d0000b2738a495609f171a7a2b480418b
5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,Jagjit Singh,https://open.spotify.com/track/5NbR7c5zrOZN3Dje3JVJEN,Jagjit Singh,"ghazal, bhajan, qawwali, sufi, devotional",Sarfarosh (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2736adbe3457a317569ef6f92d4
0MOJU1KKbcDTgkdUtLs8G3,Aaye Ho Meri Zindagi Mein - Female Version,Alka Yagnik,https://open.spotify.com/track/0MOJU1KKbcDTgkdUtLs8G3,Alka Yagnik,"bollywood, hindi pop, desi",Raja Hindustani (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273261cc572f6df52bfd2ad5743
